year,title,musicbrainz_id,cover_filename
1973,Queen,810068af-2b3c-3e9c-b2ab-68a3f3e3787d,1973_queen.jpg
1974,Queen II,93d91bd6-1b55-3751-bca7-8b9d33beb7ef,1974_queen_ii.jpg
1974,Sheer Heart Attack,002ed683-3327-3df0-88c8-318746089925,1974_sheer_heart_attack.jpg
1975,A Night at the Opera,6b47c9a0-b9e1-3df9-a5e8-50a6ce0dbdbd,1975_a_night_at_the_opera.jpg
1976,A Day at the Races,a106e33b-e440-3ff3-9250-c6408ed73e60,1976_a_day_at_the_races.jpg
1977,News of the World,c172ea98-3a82-3254-b8ad-25a4f465ba03,1977_news_of_the_world.jpg
1978,Jazz,c192ea46-7377-34f0-b332-dd9810edd560,1978_jazz.jpg
1980,The Game,75702ddf-a46c-3cac-bace-0a466eb3c37c,1980_the_game.jpg
1980,Flash Gordon,70bd9521-c3ea-38c9-9d67-a6a6100bfa48,1980_flash_gordon.jpg
1982,Hot Space,3918b90b-340e-3779-9d7e-ba1593653498,1982_hot_space.jpg
1984,The Works,44c90c72-76b5-3c13-890e-3d37f21c10c9,1984_the_works.jpg
1986,A Kind of Magic,84f508a9-beae-3e97-b59e-3a8886c6e901,1986_a_kind_of_magic.jpg
1989,The Miracle,0c3067cd-0fc6-34fa-8611-cf3324b29c8a,1989_the_miracle.jpg
1991,Innuendo,daf57856-a734-3441-b0fd-26aa5f28ca64,1991_innuendo.jpg
1995,Made in Heaven,780e6a16-9384-307d-ae65-02e1d6313753,1995_made_in_heaven.jpg
